------------------------Top 50 Bigrams for Language: gl------------------------------
    Bigram   Frequency        Rank     UnSmoothedProbability        SmoothedProbability
        es         407          1      0.020861096873398256       0.008667677292431378
        de         381          2      0.019528446950281907       0.008114104190974202
        as         348          3      0.017837006663249614       0.007411492177586251
        ar         331          4      0.016965658636596617        0.00704954053432579
        an         317          5      0.016248077908764737       0.006751462710464235
        en         315          6      0.016145566376217325       0.006708880164198298
        os         309          7       0.01583803177857509       0.006581132525400489
        on         304          8       0.01558175294720656       0.006474676159735647
        ra         299          9      0.015325474115838032       0.006368219794070806
        er         284         10      0.014556637621732444       0.006048850697076282
        ta         275         11      0.014095335725269094       0.005857229238879567
        no         274         12      0.014044079958995388       0.005835937965746599
        do         271         13       0.01389031266017427       0.005772064146347695
        te         269         14      0.013787801127626858       0.005729481600081758
        ue         266         15      0.013634033828805741       0.005665607780682854
        qu         255         16      0.013070220399794977       0.005431403776220202
        ja         253         17      0.012967708867247565       0.005388821229954266
        co         250         18      0.012813941568426449      0.0053249474105553606
        me         245         19      0.012557662737057919        0.00521849104489052
        or         238         20      0.012198872373141979       0.005069452132959742
        re         224         21      0.011481291645310098       0.004771374309098186
        al         222         22      0.011378780112762686        0.00472879176283225
        ia         218         23      0.011173757047667862      0.0046436266703003765
        na         215         24      0.011019989748846746       0.004579752850901472
        ma         209         25       0.01071245515120451       0.004452005212103662
        ca         208         26      0.010661199384930804       0.004430713938970694
        da         208         27      0.010661199384930804       0.004430713938970694
        po         203         28      0.010404920553562276       0.004324257573305853
        mo         191         29      0.009789851358277805       0.004068762295710233
        to         190         30      0.009738595592004101       0.004047471022577265
        aj         188         31       0.00963608405945669       0.004004888476311329
        se         187         32      0.009584828293182983       0.003983597203178361
        in         183         33       0.00937980522808816      0.0038984321106464875
        st         175         34      0.008969759097898513      0.0037281019255827417
        la         168         35      0.008610968733982573      0.0035790630136519636
        ri         168         36      0.008610968733982573      0.0035790630136519636
        is         167         37      0.008559712967708867      0.0035577717405189955
        pa         162         38      0.008303434136340338       0.003451315374854154
        ro         160         39      0.008200922603792926       0.003408732828588218
        ad         156         40      0.007995899538698104      0.0033235677360563447
        nt         153         41      0.007842132239876986      0.0032596939166574398
        it         150         42      0.007688364941055869      0.0031958200972585353
        sa         148         43      0.007585853408508457      0.0031532375509925985
        am         139         44      0.007124551512045105      0.0029616160927958845
        un         135         45      0.006919528446950282      0.0028764510002640114
        ir         133         46      0.006817016914402871      0.0028338684539980746
        di         132         47      0.006765761148129165      0.0028125771808651064
        pe         126         48     0.0064582265504869295       0.002684829542067297
        el         124         49      0.006355715017939518      0.0026422469958013606
        oi         122         50      0.006253203485392106       0.002599664449535424
------------------------Top 50 Bigrams for Language: eu------------------------------
    Bigram   Frequency        Rank     UnSmoothedProbability        SmoothedProbability
        ar         295          1      0.020846583280333546       0.007292199496390967
        en         294          2      0.020775916896332413       0.007267488552655315
        ta         239          3       0.01688926577627023       0.005908386647194443
        er         219          4      0.015475938096247616       0.005414167772481398
        an         216          5      0.015263938944244222       0.005340034941274442
        at         210          6      0.014839940640237439       0.005191769278860529
        ai         200          7      0.014133276800226132       0.004944659841504007
        in         198          8       0.01399194403222387       0.004895237954032702
        te         194          9      0.013709278496219349       0.004796394179090093
        na         192         10      0.013567945728217087      0.0047469722916187885
        aa         191         11      0.013497279344215957      0.0047222613478831365
        ra         183         12      0.012931948272206912       0.004524573797997919
        re         182         13       0.01286128188820578       0.004499862854262267
        on         174         14      0.012295950816196735       0.004302175304377049
        al         171         15      0.012083951664193343       0.004228042473170093
        tz         171         16      0.012083951664193343       0.004228042473170093
        rr         165         17       0.01165995336018656      0.0040797768107561794
        ba         164         18      0.011589286976185428      0.0040550658670205275
        la         164         19      0.011589286976185428      0.0040550658670205275
        it         163         20      0.011518620592184298       0.004030354923284875
        ko         162         21      0.011447954208183167       0.004005643979549223
        ja         159         22      0.011235955056179775       0.003931511148342266
        ak         153         23      0.010811956752172992       0.003783245485928353
        ze         153         24      0.010811956752172992       0.003783245485928353
        ri         149         25      0.010529291216168468       0.003684401710985744
        ik         135         26       0.00953996184015264       0.003338448498686613
        et         134         27      0.009469295456151508       0.003313737554950961
        ga         133         28      0.009398629072150378       0.003289026611215309
        ea         133         29      0.009398629072150378       0.003289026611215309
        ia         131         30      0.009257296304148116       0.003239604723744004
        un         124         31      0.008762631616140201      0.0030666281175944386
        au         120         32       0.00847996608013568        0.00296778434265183
        aj         120         33       0.00847996608013568        0.00296778434265183
        be         119         34       0.00840929969613455       0.002943073398916178
        za         116         35      0.008197300544131156       0.002868940567709221
        ka         115         36      0.008126634160130026      0.0028442296239735688
        ez         112         37      0.007914635008126635      0.0027700967927666124
        da         110         38      0.007773302240124373       0.002720674905295308
