------------------------Top 50 Unigrams for Language: gl------------------------------
   Unigram   Frequency        Rank     UnSmoothedProbability        SmoothedProbability
         a        3454          1       0.13803300963113935        0.13801714975266316
         e        2821          2       0.11273628261998961        0.11272406159845924
         o        2610          3        0.1043040402829397         0.1042930322137246
         s        1737          4       0.06941613715381849        0.06941014760295046
         i        1649          5       0.06589937257722894        0.06589388890220806
         n        1585          6       0.06334172561243656        0.06333660984712267
         r        1543          7       0.06166326979179155       0.061658395467222876
         t        1193          8       0.04767613795308316        0.04767327563472465
         d        1112          9       0.04443911601326779        0.04443671933063221
         u         991         10       0.03960356472045718         0.0396018636171114
         m         916         11        0.0366063221835911        0.03660505222443321
         l         852         12        0.0340486752187987        0.03404777316934782
         c         832         13      0.033249410542301086       0.033248623464633635
         p         748         14       0.02989249890101107        0.02989219470483406
         b         350         15      0.013987131838708389       0.013989115581021795
         j         336         16      0.013427646565160052       0.013429710787721866
         g         316         17      0.012628381888662431        0.01263056108300768
         v         309         18      0.012348639251888264       0.012350858686357716
         q         292         19      0.011669264276865285       0.011671581437350661
         h         291         20      0.011629301043040403       0.011631623952114952
         f         250         21      0.009990808456220277       0.009993367057450873
         x         218         22      0.008711984973824081       0.008714727529908178
         z         143         23     0.0057147424369579985       0.005717916137229988
         k          58         24     0.0023178675618431045       0.002321529892194705
         2          53         25      0.002118051392718699       0.002121742466016159
         3          49         26     0.0019581984574191746       0.001961912525073322
         1          46         27      0.001838308755944531      0.0018420400693661945
         y          46         28      0.001838308755944531      0.0018420400693661945
         w          35         29      0.001398713183870839      0.0014025077317733933
         7          33         30     0.0013187867162210765      0.0013225927613019748
         9          33         31     0.0013187867162210765      0.0013225927613019748
         6          28         32      0.001118970547096671      0.0011228053351234287
         0          27         33       0.00107900731327179      0.0010828478498877195
         8          24         34      9.591176117971466E-4        9.62975394180592E-4
         5          23         35      9.191543779722655E-4       9.230179089448827E-4
         4          20         36      7.992646764976222E-4       8.031454532377552E-4
------------------------Top 50 Unigrams for Language: eu------------------------------
   Unigram   Frequency        Rank     UnSmoothedProbability        SmoothedProbability
         a        2813          1        0.1649756612515395        0.16494670059690641
         e        1737          2       0.10187085801419271        0.10185521794706413
         i        1446          3       0.08480441029851622        0.08479237273228338
         t        1273          4       0.07465837780775321        0.07464848193449275
         n        1181          5       0.06926279983578676        0.06925404289751738
         o        1178          6       0.06908685707583133        0.06907813727674646
         r        1062          7       0.06228373702422145         0.0622764532736036
         u         834          8      0.048912087267608935       0.048907626095012494
         k         666          9       0.03905929271010498         0.0390569113318401
         z         657         10       0.03853146443023869        0.03852919446952729
         l         545         11       0.03196293472523606        0.03196205129407902
         d         465         12      0.027271127793091314       0.027271234740187403
         b         448         13      0.026274118820010555        0.02627443622248543
         s         435         14      0.025511700193537035       0.025512178532478044
         g         417         15      0.024456043633804467        0.02445674480785243
         p         292         16      0.017125095302328308       0.017127343942396775
         j         287         17      0.016831857369069263        0.01683416790777855
         h         252         18      0.014779191836255938       0.014781935665450965
         m         249         19       0.01460324907630051       0.014606030044680028
         x         162         20      0.009500909037593102       0.009504767042322892
         c         115         21      0.006744472464958067       0.006748912316911567
         f         109         22      0.006392586945047211       0.006397101075369695
         y          63         23     0.0036947979590639846       0.003699881556882015
         1          49         24     0.0028737317459386546      0.0028789886599509813
         v          36         25      0.002111313119465134       0.002116730969943593
         3          35         26     0.0020526655328133247       0.002058095763019948
         0          34         27     0.0019940179461615153       0.001999460556096303
         2          30         28     0.0017594275995542784      0.0017649197284017217
         9          29         29      0.001700780012902469      0.0017062845214780766
         q          27         30     0.0015834848395988505      0.0015890141076307861
         4          27         31     0.0015834848395988505      0.0015890141076307861
         5          26         32     0.0015248372529470412      0.0015303789007071408
         7          22         33      0.001290246906339804      0.0012958380730125599
         w          20         34     0.0011729517330361856      0.0011785676591652694
         8          16         35      9.383613864289485E-4       9.440268314706885E-4
         6          14         36      8.210662131253298E-4       8.267564176233979E-4
------------------------Top 50 Unigrams for Language: ca------------------------------
   Unigram   Frequency        Rank     UnSmoothedProbability        SmoothedProbability
         a       13059          1        0.1257341472338295        0.12573075204880152
         e       11367          2       0.10944329976314725        0.10944046922176351
         t        7490          3       0.07211492172305559        0.07211338498983301
         i        6952          4       0.06693497140436348         0.0669336142091318
         r        6905          5        0.0664824478635112        0.06648110635282518
         s        6830          6       0.06576033583023627         0.0657590193480806
         o        6430          7       0.06190907165277002        0.06190788865610943
         l        6165          8       0.05935760913519863       0.059356514572678536
         n        6019          9      0.057951897710423445       0.057950851870109066
         c        4216         10       0.04059232443049431        0.04059188027604905
         u        3883         11       0.03738614700275365        0.03738581397498305
         d        3701         12      0.035633821802006506        0.03563354951013617
         m        3583         13       0.03449769886965397        0.03449746595600468
         p        3376         14       0.03250466965781518       0.032504505822909605
         g        1782         15      0.017157381910612158        0.01715775001540452
         b        1712         16      0.016483410679555565       0.016483802144309567
         v        1621         17      0.015607248079181991       0.015607669911886128
         h        1481         18      0.014259305617068802       0.014259774169696222
         f        1327         19      0.012776568908744295       0.012777088853287323
         q        1098         20      0.010571720167144865       0.010572316532133834
         j         845         21       0.00813579557489746       0.008136476369462074
         x         640         22      0.006162022683946005       0.006162771889826853
         y         556         23      0.005353257206678092       0.005354034444512909
         1         353         24     0.0033987406366139685       0.003399585618337544
         k         341         25     0.0032832027112899807       0.003284051697578409
         2         291         26     0.0028017946891066995       0.002802660361082014
         0         272         27      0.002618859640677052      0.0026197316532133837
         w         260         28     0.0025033217153530647       0.002504197732454249
         z         253         29      0.002435924592247405       0.002436802945344753
         4         198         30     0.0019063757678457953      0.0019072724751987183
         3         190         31     0.0018293504842964703       0.001830249861359295
         6         139         32      0.001338314301669523      0.0013392306981329716
         5         139         33      0.001338314301669523      0.0013392306981329716
         9         137         34     0.0013190579807821918      0.0013199750446731158
         7         131         35      0.001261289018120198      0.0012622080842935484
         8         120         36      0.001155379253239876      0.0011563019902643414
------------------------Top 50 Unigrams for Language: pt------------------------------
   Unigram   Frequency        Rank     UnSmoothedProbability        SmoothedProbability
         a       13211          1       0.14625748668725852         0.1462527648438071
         e       10682          2       0.11825921374561316        0.11825560773425617
         o        9271          3       0.10263819234558881        0.10263520888823942
         s        6472          4       0.07165077994398131        0.07164903144670798
         r        5537          5       0.06129950070300132        0.06129816474151616
         i        5164          6       0.05717005989349807        0.05716888850511344
         m        4886          7       0.05409235333842594         0.0540913046077409
         t        4534          8      0.050195401153586415       0.050194507730492215
         n        4131          9        0.0457338337374207        0.04573311812386943
         u        3990         10       0.04417283868610714        0.04417218528383515
         d        3606         11       0.03992161812082766       0.039921134145018404
         c        3009         12       0.03331229864824471       0.033312078077639244
         p        2341         13       0.02591694620656061        0.02591702036740595
         l        2250         14      0.024909495499684478        0.02490960981107177
         h        1940         15      0.021477520564172396       0.021477771652131168
         v        1434         16      0.015875651798465576       0.015876126141086185
         g        1367         17      0.015133902376919415       0.015134406280928056
         q        1300         18      0.014392152955373255       0.014392686420769926
         f        1181         19      0.013074717415612164       0.013075303385563694
         b        1119         20      0.012388322428509749       0.012388935753775573
         j         559         21      0.006188625770810499       0.006189486176334487
         k         469         22      0.005192245950823121      0.0051931460656743115
         z         463         23      0.005125820629490629         0.0051267233916303
